0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,514,295,63.54
1,536,273,66.25
10,561,248,69.34
100,564,245,69.72
1000,565,244,69.84
0,514,295,63.54
1,536,273,66.25
10,561,248,69.34
100,564,245,69.72
1000,565,244,69.84
0,152,95,61.54
1,160,87,64.78
10,166,81,67.21
100,167,80,67.61
1000,167,80,67.61
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,0,0,NaN
1,0,0,NaN
10,0,0,NaN
100,0,0,NaN
1000,0,0,NaN
0,514,295,63.54
1,536,273,66.25
10,561,248,69.34
100,564,245,69.72
1000,565,244,69.84
0,152,95,61.54
1,160,87,64.78
10,166,81,67.21
100,167,80,67.61
1000,167,80,67.61
0,270,164,62.21
1,286,148,65.90
10,299,135,68.89
100,301,133,69.35
1000,302,132,69.59
0,270,164,62.21
1,286,148,65.90
10,299,135,68.89
100,301,133,69.35
1000,302,132,69.59
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,514,295,63.54
1,536,273,66.25
10,561,248,69.34
100,564,245,69.72
1000,565,244,69.84
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,152,95,61.54
1,160,87,64.78
10,166,81,67.21
100,297,139,68.12
1000,297,139,68.12
0,152,95,61.54
1,160,87,64.78
10,166,81,67.21
100,167,80,67.61
1000,167,80,67.61
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,514,295,63.54
1,536,273,66.25
10,561,248,69.34
100,564,245,69.72
1000,565,244,69.84
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,270,164,62.21
1,286,148,65.90
10,299,135,68.89
100,301,133,69.35
1000,302,132,69.59
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,270,164,62.21
1,286,148,65.90
10,299,135,68.89
100,301,133,69.35
1000,302,132,69.59
0,0,0,NaN
1,0,0,NaN
10,0,0,NaN
100,0,0,NaN
1000,0,0,NaN
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,152,95,61.54
1,160,87,64.78
10,166,81,67.21
100,167,80,67.61
1000,167,80,67.61
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,152,95,61.54
1,160,87,64.78
10,166,81,67.21
100,167,80,67.61
1000,167,80,67.61
0,152,95,61.54
1,160,87,64.78
10,166,81,67.21
100,167,80,67.61
1000,167,80,67.61
0,0,0,NaN
1,0,0,NaN
10,0,0,NaN
100,130,59,68.78
1000,130,59,68.78
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,270,164,62.21
1,286,148,65.90
10,299,135,68.89
100,301,133,69.35
1000,302,132,69.59
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,152,95,61.54
1,160,87,64.78
10,166,81,67.21
100,167,80,67.61
1000,167,80,67.61
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,638,362,63.80
1,668,332,66.80
10,0,0,NaN
100,0,0,NaN
1000,0,0,NaN
0,270,164,62.21
1,286,148,65.90
10,299,135,68.89
100,301,133,69.35
1000,302,132,69.59
0,638,362,63.80
1,668,332,66.80
10,702,298,70.20
100,705,295,70.50
1000,707,293,70.70
0,514,295,63.54
1,536,273,66.25
10,561,248,69.34
100,564,245,69.72
1000,565,244,69.84
0,514,295,63.54
